ORG_CODE_ID,ORG_NAME,TRANSFER_EVENT_ID,TRANSFER_EVENT_TYPE,TRANSFER_COURSE_NAME,MMU_EVENT_ID,MMU_EVENT_TYPE,MMU_COURSE_NAME
"O000040428","North Iowa Area Community College","BIO186","Lecture","Microbiology","BI 150","Lecture","Basic Microbiology"
"O000040428","North Iowa Area Community College","BIO231","Lecture","Vertebrate Zoology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO500","Lecture","Biological Agents of Terrorism","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO232","Lecture","Invertebrate Zoology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO249","Lecture","Biotechnology Internship","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA214","Lecture","Advanced Computer Business Applications","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT303","Lecture","Automotive Manual Drive Train and Axles","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT403","Lecture","Automotive Suspension and Steering","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT204","Lecture","Automotive Automatic Transmissions/Trans","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT104","Lecture","Introduction to Automotive Technology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT163","Lecture","Automotive Engine Repair","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT503","Lecture","Automotive Brake Systems","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT804","Lecture","Automotive Engine Performance I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT812","Lecture","Automotive Engine Performance II","OT","Lecture","Generic Course"
